name,parent
Node 185
Outgroup,Node 185
Node 184,Node 185
Node 183,Node 184
Node 178,Node 183
Node 177,Node 178
Node 176,Node 177
Node 175,Node 176
Node 174,Node 175
Node 160,Node 174
Node 159,Node 160
Bunodera sacculata,Node 159
Node 158,Node 159
Node 29,Node 158
Node 26,Node 29
Node 21,Node 26
Node 3,Node 21
Zeylanurotrema spearei,Node 3
Node 2,Node 3
Node 1,Node 2
Leucochloridium perturbatum,Node 1
Urogonimus macrostomus,Node 1
Brachylaima thompsoni,Node 2
Node 20,Node 21
Node 15,Node 20
Node 6,Node 15
Node 5,Node 6
Node 4,Node 5
Neoparacardicola nasonis,Node 4
Plethorchis acanthus,Node 4
Aporocotyle spinosicanalis,Node 5
Chimaerohemecus trondheimensis,Node 6
Node 14,Node 15
Node 13,Node 14
Node 12,Node 13
Node 9,Node 12
Node 8,Node 9
Node 7,Node 8
Dendritobilharzia pulverulenta,Node 7
Gigantobilharzia huronensis,Node 7
Bilharziella polonica,Node 8
Austrobilharzia terrigalensis,Node 9
Node 11,Node 12
Schistosoma haematobium,Node 11
Node 10,Node 11
Schistosoma japonicum,Node 10
Schistosoma mansoni,Node 10
Spirorchis scripta,Node 13
Trichobilharzia regenti,Node 14
Node 19,Node 20
Node 16,Node 19
Cardiocephaloides longicollis,Node 16
Ichthyocotylurus erraticus,Node 16
Node 18,Node 19
Node 17,Node 18
Alaria alata,Node 17
Diplostomum phoxini,Node 17
Apharyngostrigea cornu,Node 18
Node 25,Node 26
Node 24,Node 25
Cotylogaster basiri,Node 24
Node 23,Node 24
Node 22,Node 23
Aspidogaster conchicola,Node 22
Lobatostoma manteri,Node 22
Multicalyx elegans,Node 23
Rugogaster hydrolagi,Node 25
Node 28,Node 29
Bivesicula fusiformis,Node 28
Node 27,Node 28
Bivesicula claviformis,Node 27
Bivesicula unexpecta,Node 27
Node 157,Node 158
Node 156,Node 157
Node 154,Node 156
Node 149,Node 154
Node 141,Node 149
Node 140,Node 141
Node 133,Node 140
Node 116,Node 133
Node 111,Node 116
Node 107,Node 111
Node 89,Node 107
Node 75,Node 89
Node 45,Node 75
Node 36,Node 45
Node 30,Node 36
Pachypsolus irroratus,Node 30
Tanaisia fedtschenkoi,Node 30
Node 35,Node 36
Node 34,Node 35
Deretrema nahaense,Node 34
Node 33,Node 34
Node 32,Node 33
Antorchis pomacanthi,Node 32
Node 31,Node 32
Bacciger lesteri,Node 31
Trigonocryptus conus,Node 31
Zoogonoides viviparus,Node 33
Lepidophyllum steenstrupi,Node 35
Node 44,Node 45
Node 42,Node 44
Node 38,Node 42
Maritrema oocysta,Node 38
Node 37,Node 38
Microphallus primas,Node 37
Microphallus fusiformis,Node 37
Node 41,Node 42
Node 39,Node 41
Schistogonimus rarus,Node 39
Prosthogonimus ovatus,Node 39
Node 40,Node 41
Pleurogenes claviger,Node 40
Pleurogenoides medians,Node 40
Node 43,Node 44
Paralecithodendrium longiforme,Node 43
Lecithodendrium linstowi,Node 43
Node 74,Node 75
Node 73,Node 74
Node 72,Node 73
Node 65,Node 72
Node 63,Node 65
Node 62,Node 63
Node 61,Node 62
Node 60,Node 61
Node 59,Node 60
Node 56,Node 59
Node 53,Node 56
Node 52,Node 53
Node 51,Node 52
Node 50,Node 51
Node 46,Node 50
Haematoloechus medioplexus,Node 46
Haematoloechus danbrooksi,Node 46
Node 49,Node 50
Haematoloechus breviplexus,Node 49
Node 48,Node 49
Haematoloechus varioplexus,Node 48
Node 47,Node 48
Haematoloechus coloradensis,Node 47
Haematoloechus parviplexus,Node 47
Haematoloechus floedae,Node 51
Haematoloechus illimis,Node 52
Haematoloechus meridionalis,Node 53
